601.185902,0.2032
631.051929,0.1887
601.93027,0.2026
601.961578,0.2011
603.619548,0.1985
606.789167,0.1951
607.380288,0.1946
605.230992,0.1964
601.478118,0.2026
602.573022,0.2
604.569599,0.1974
603.34465,0.1992
604.886363,0.1969
605.510898,0.196
606.553244,0.1953
604.301448,0.1975
603.788626,0.1982
626.065227,0.1891
626.637377,0.189
608.991917,0.1939
603.13059,0.1999
606.510523,0.1958
607.901878,0.1946
602.339947,0.201
624.335803,0.1893
605.167303,0.1968
625.136532,0.1892
611.043955,0.1928
613.369004,0.192
610.133941,0.1934
614.536812,0.1912
602.551002,0.2005
610.184403,0.1931
602.568688,0.2005
621.218833,0.1898
611.365042,0.1926
622.176878,0.1895
613.454301,0.1917
614.334437,0.1915
609.91686,0.1936
603.99925,0.1979
619.916252,0.19
616.388049,0.1909
617.480046,0.1906
622.723159,0.1894
620.781755,0.1899
623.568367,0.1894
618.320157,0.1903
621.597304,0.1897
620.280577,0.1899
630.457081,0.1888
621.806158,0.1896
613.771123,0.1917
623.178053,0.1894
612.239831,0.1924
612.83223,0.1921
625.377857,0.1891
629.652807,0.1888
608.271735,0.1941
609.386913,0.1937
613.931554,0.1915
608.6236,0.1941
615.771929,0.1909
606.000277,0.196
627.895225,0.1889
610.626108,0.1929
627.247774,0.189
610.490403,0.193
616.709759,0.1908
628.27472,0.1889
624.046424,0.1893
628.985519,0.1888
603.934403,0.1979
629.880741,0.1888
618.878968,0.1902
619.5875,0.1901
615.170715,0.1911
603.304846,0.1992
615.57544,0.191
614.976038,0.1912
603.205779,0.1995
618.202973,0.1906
612.432075,0.1922
627.452256,0.1889
611.877424,0.1925
619.320302,0.1901
606.272919,0.1959
603.183712,0.1996
617.143416,0.1907
616.818558,0.1907
608.071427,0.1943
611.508892,0.1925
628.747935,0.1888
618.0905,0.1906
630.777306,0.1887
609.529379,0.1937
618.664263,0.1903
612.687702,0.1922
608.121627,0.1943
602.25182,0.201
